0,Gioconda (Monna Lisa),Leonardo Da Vinci,Dipinto,Ritratto,Rinascimento,1504
1,David,Michelangelo,Scultura,Scultura,Rinascimento,1501
2,Heart,Keith Haring,Dipinto,Pop Art,Arte Contemporanea,1982
3,Rebel with many causes,Keith Haring,Dipinto,Ritratto,Arte Contemporanea,1989
4,I girasoli,Vincent Van Gogh,Dipinto,Olio su tela,Impressionismo,1888
5,Notte stellata,Vincent van Gogh,Dipinto,Olio su tela,Impressionismo,1889
6,Autoritratto,Vincent van gogh,Dipinto,Ritratto,Impressionismo,1889
7,Due lotattori,Michelangelo,Scultura,Bozzetto di statua,Rinascimento,1525
8,Venere e Amore,Michelangelo,Dipinto,Olio su tela,Rinascimento,1532
9,San Ludovico di Tolosa,Donatello,Statua,Statua in bronzo dorato,Rinascimento,1421
10,Putto con tamburello,Donatello,Statua,Statua in bronzo,Rinascimento,1423
11,Alice,Amedeo Modigliani,Dipinto,Olio su tela,Scuola di Parigi,1915
12,I tre musici,Pablo Picasso,Dipinto,Olio su tela,Cubismo sintetico,1921
13,Guernica,Pablo Picasso,Dipinto,Olio su tela,Cubismo,1937
14,La persistenza della memoria,Salvador Dali,Dipinto,Olio su tela,Surrealismo,1931
15,Profilo del Tempo,Salvador Dali,Dipinto,Olio su tela,Surrealismo,1984
16,Urlo,Edvard Munch,Dipinto,Ritratto,Floreale,1893